Title,Subcategory,Link,Published,Authors,Summary
On the Reliability of User-Centric Evaluation of Conversational Recommender Systems,Judge Reliability And Calibration,[arXiv](http://arxiv.org/abs/2602.17264v1),2026-02-19,"Michael Müller, Amir Reza Mohammadi, Andreas Peintner, et al.","Purpose: The paper aims to investigate the reliability of user-centric evaluation of Conversational Recommender Systems (CRS) through a large-scale empirical study on static dialogue transcripts. Method: The study collected 1,053 annotations from 124 crowd workers on 200 ReDial dialogues using the 18-dimensional CRS-Que framework and analyzed them using random-effects reliability models and correlation analysis. Results: The results show that while utilitarian dimensions achieve moderate reliability, socially grounded constructs are less reliable, and many dimensions collapse into a single global quality signal due to a strong halo effect in third-party judgments."
Quantifying and Mitigating Socially Desirable Responding in LLMs: A Desirability-Matched Graded Forced-Choice Psychometric Study,"Judge Reliability And Calibration, Metrics And Scoring Methods",[arXiv](http://arxiv.org/abs/2602.17262v1),2026-02-19,"Kensuke Okada, Yui Furukawa, Kyosuke Bunji","Purpose: The study aims to quantify and mitigate socially desirable responding in large language models (LLMs) when using human self-report questionnaires for evaluation, as these instruments assume honest responding but can be biased by socially preferred answers. Method: To address this issue, the researchers propose a psychometric framework that involves administering the same inventory under different instructions and computing socially desirable responding as a standardized effect size from item response theory-estimated latent scores. Results: The study finds that using a desirability-matched graded forced-choice inventory substantially attenuates socially desirable responding in LLMs while preserving the recovery of intended persona profiles, highlighting the need for socially desirable responding-aware reporting practices in questionnaire-based benchmarking and auditing of LLMs."
When LLM Judges Inflate Scores: Exploring Overrating in Relevance Assessment,"Judge Reliability And Calibration, Judge Prompting Protocols",[arXiv](http://arxiv.org/abs/2602.17170v1),2026-02-19,"Chuting Yu, Hang Li, Joel Mackenzie, et al.","Purpose: The purpose of this study is to explore the reliability and stability of large language models (LLMs) as proxies for human judges in relevance assessment, examining their tendency to overrate scores. Method: Methodologically, the researchers conducted a systematic study of LLM-based relevance judgments across various model backbones, evaluation paradigms, and passage modification strategies to investigate overrating behavior. Results: Results show that LLMs consistently assign inflated relevance scores to passages that do not genuinely satisfy the underlying information need, revealing a system-wide bias and highlighting the need for careful diagnostic evaluation frameworks."
Preserving Historical Truth: Detecting Historical Revisionism in Large Language Models,"Benchmark And Dataset Creation, Robustness And Sensitivity",[arXiv](http://arxiv.org/abs/2602.17433v1),2026-02-19,"Francesco Ortu, Joeun Yook, Punya Syon Pandey, et al.","Purpose: The purpose of this study is to introduce a method for detecting historical revisionism in large language models, which are increasingly used as sources of historical information. Method: The method involves using a curated dataset called HistoricalMisinfo, which contains 500 contested events from 45 countries, each paired with factual and revisionist reference narratives, and evaluating language models under neutral and robustness prompts. Results: The results show that while language models generally produce outputs closer to factual references under neutral prompts, they exhibit sharply higher revisionism scores when explicitly requested to provide the revisionist narrative, indicating limited resistance to revisionist framing."
"Same Meaning, Different Scores: Lexical and Syntactic Sensitivity in LLM Evaluation","Robustness And Sensitivity, Metrics And Scoring Methods",[arXiv](http://arxiv.org/abs/2602.17316v1),2026-02-19,"Bogdan Kostić, Conor Fallon, Julian Risch, et al.","Purpose: The paper examines how controlled lexical and syntactic perturbations affect the performance and relative ranking of Large Language Models (LLMs) across various benchmarks. Method: The study employs two linguistically principled pipelines to generate meaning-preserving variations, including synonym substitution for lexical changes and dependency parsing for syntactic transformations. Results: The results show that lexical perturbations induce substantial performance degradation, while syntactic perturbations have heterogeneous effects, and both types destabilize model leaderboards, revealing a need for robustness testing in LLM evaluation."
On the Reliability of User-Centric Evaluation of Conversational Recommender Systems,Judge Reliability And Calibration,[arXiv](http://arxiv.org/abs/2602.17264v1),2026-02-19,"Michael Müller, Amir Reza Mohammadi, Andreas Peintner, et al.","Purpose: The paper aims to investigate the reliability of user-centric evaluation of Conversational Recommender Systems (CRS) through a large-scale empirical study on static dialogue transcripts. Method: The study collected 1,053 annotations from 124 crowd workers on 200 ReDial dialogues using the 18-dimensional CRS-Que framework and analyzed them using random-effects reliability models and correlation analysis. Results: The results show that while utilitarian dimensions achieve moderate reliability, socially grounded constructs are less reliable, and many dimensions collapse into a single global quality signal due to a strong halo effect in third-party judgments."
Quantifying and Mitigating Socially Desirable Responding in LLMs: A Desirability-Matched Graded Forced-Choice Psychometric Study,"Judge Reliability And Calibration, Metrics And Scoring Methods",[arXiv](http://arxiv.org/abs/2602.17262v1),2026-02-19,"Kensuke Okada, Yui Furukawa, Kyosuke Bunji","Purpose: The study aims to quantify and mitigate socially desirable responding in large language models (LLMs) when using human self-report questionnaires for evaluation, as these instruments presume honest responding but can be biased by socially preferred answers. Method: The researchers propose a psychometric framework that administers the same inventory under HONEST versus FAKE-GOOD instructions to quantify socially desirable responding and construct a graded forced-choice inventory to mitigate it. Results: The study finds that desirability-matched graded forced-choice questionnaires substantially attenuate socially desirable responding in LLMs while preserving the recovery of intended persona profiles, highlighting a model-dependent trade-off between socially desirable responding and recovery."
When LLM Judges Inflate Scores: Exploring Overrating in Relevance Assessment,"Judge Reliability And Calibration, Judge Prompting Protocols",[arXiv](http://arxiv.org/abs/2602.17170v1),2026-02-19,"Chuting Yu, Hang Li, Joel Mackenzie, et al.","Purpose: The paper aims to explore the reliability and stability of large language models (LLMs) as proxies for human judges in relevance assessment, by investigating their overrating behavior across different model backbones and evaluation paradigms. Method: The study conducts a systematic analysis of LLM-based relevance judgments using various passage modification strategies, pointwise and pairwise evaluation paradigms, and controlled experiments to examine the sensitivity of models to passage length and lexical cues. Results: The results show that LLMs consistently assign inflated relevance scores to passages that do not genuinely satisfy the underlying information need, revealing a system-wide bias and highlighting the need for careful diagnostic evaluation frameworks when using LLMs for relevance assessments."
The Emergence of Lab-Driven Alignment Signatures: A Psychometric Framework for Auditing Latent Bias and Compounding Risk in Generative AI,"Benchmark And Dataset Creation, Judge Reliability And Calibration",[arXiv](http://arxiv.org/abs/2602.17127v1),2026-02-19,Dusan Bosnjakovic,"Purpose: The paper aims to introduce a novel auditing framework for detecting durable, provider-level behavioral signatures in Large Language Models (LLMs) to ensure safety and governance in multi-agent systems. Method: The research utilizes psychometric measurement theory, specifically latent trait estimation under ordinal uncertainty, and employs techniques such as forced-choice ordinal vignettes and Mixed Linear Models (MixedLM) analysis to quantify latent tendencies in LLMs. Results: The study finds that a persistent ""lab signal"" accounts for significant behavioral clustering in leading models, indicating that latent biases are compounding variables that risk creating recursive ideological echo chambers in multi-layered AI architectures."
SourceBench: Can AI Answers Reference Quality Web Sources?,"Benchmark And Dataset Creation, Judge Reliability And Calibration",[arXiv](http://arxiv.org/abs/2602.16942v1),2026-02-18,"Hexi Jin, Stephen Liu, Yuheng Li, et al.","Purpose: The paper introduces SourceBench, a benchmark for measuring the quality of cited web sources used by large language models to answer queries, with the goal of evaluating evidence quality rather than just answer correctness. Method: The SourceBench framework uses eight metrics to assess content quality and page-level signals, and includes a human-labeled dataset with a calibrated LLM-based evaluator to evaluate the quality of cited web sources across various queries and intents. Results: The evaluation of eight large language models, Google Search, and three AI search tools using SourceBench reveals key insights that can guide future research in GenAI and web search, including the quality of cited web sources and the effectiveness of different models."
Evaluating Monolingual and Multilingual Large Language Models for Greek Question Answering: The DemosQA Benchmark,"Benchmark And Dataset Creation, Judge Reliability And Calibration",[arXiv](http://arxiv.org/abs/2602.16811v1),2026-02-18,"Charalampos Mastrokostas, Nikolaos Giarelis, Nikos Karacapilidis","Purpose: The study aims to address the research gap in evaluating the effectiveness of monolingual and multilingual Large Language Models for Greek Question Answering by introducing a novel dataset and evaluation framework. Method: The researchers developed DemosQA, a new dataset constructed from social media user questions and community-reviewed answers, and utilized a memory-efficient LLM evaluation framework to assess 11 models on 6 Greek QA datasets with 3 prompting strategies. Results: The study provides an extensive evaluation of monolingual and multilingual Large Language Models on Greek Question Answering tasks, releasing code and data to facilitate reproducibility and contributing to the advancement of language-specific QA research."
References Improve LLM Alignment in Non-Verifiable Domains,Judge Reliability And Calibration,[arXiv](http://arxiv.org/abs/2602.16802v1),2026-02-18,"Kejian Shi, Yixin Liu, Peifeng Wang, et al.","Purpose: The paper investigates whether reference-guided LLM-evaluators can bridge the gap in non-verifiable domains by serving as soft ""verifiers"" to improve LLM alignment. Method: The researchers design evaluation protocols that enhance LLM-based evaluators for LLM alignment using reference outputs and conduct comprehensive experiments to test the effectiveness of the reference-guided approach. Results: The study shows that a reference-guided approach substantially improves the accuracy of LLM-judges, yielding clear gains over direct SFT on reference outputs and self-improvement with reference-free judges, and achieving performance comparable to training with strong finetuned reward models."
Who can we trust? LLM-as-a-jury for Comparative Assessment,"Judge Reliability And Calibration, Benchmark And Dataset Creation",[arXiv](http://arxiv.org/abs/2602.16610v1),2026-02-18,"Mengjie Qian, Guangzhi Sun, Mark J. F. Gales, et al.","Purpose: The paper aims to address the issue of inconsistent and biased judgment probabilities of large language models (LLMs) when used as automatic evaluators for natural language generation assessment. Method: The authors propose BT-sigma, a judge-aware extension of the Bradley-Terry model that introduces a discriminator parameter for each judge to jointly infer item rankings and judge reliability from pairwise comparisons alone. Results: Experiments on benchmark NLG evaluation datasets show that BT-sigma consistently outperforms averaging-based aggregation methods and can be interpreted as an unsupervised calibration mechanism that improves aggregation by modelling judge reliability."
CitiLink-Summ: Summarization of Discussion Subjects in European Portuguese Municipal Meeting Minutes,"Benchmark And Dataset Creation, Metrics And Scoring Methods",[arXiv](http://arxiv.org/abs/2602.16607v1),2026-02-18,"Miguel Marques, Ana Luísa Fernandes, Ana Filipa Pacheco, et al.","Purpose: The purpose of this paper is to address the challenge of navigating lengthy and dense municipal meeting minutes by developing an automatic summarization system for European Portuguese. Method: Methodologically, the authors created a new corpus called CitiLink-Summ, which comprises 100 documents and 2,322 manually crafted summaries, and employed state-of-the-art generative models and large language models to establish baseline results. Results: Results of the study provide the first benchmark for municipal-domain summarization in European Portuguese, offering a valuable resource for advancing NLP research on complex administrative texts through the evaluation with lexical and semantic metrics."
Toward Scalable Verifiable Reward: Proxy State-Based Evaluation for Multi-turn Tool-Calling LLM Agents,"Judge Reliability And Calibration, Benchmark And Dataset Creation",[arXiv](http://arxiv.org/abs/2602.16246v1),2026-02-18,"Yun-Shiuan Chuang, Chaitanya Kulkarni, Alec Chiu, et al.","Purpose: The paper proposes a novel evaluation framework for multi-turn tool-calling large language model agents, aiming to provide a scalable and reliable method for comparing models and generating training data. Method: The proposed approach, called Proxy State-Based Evaluation, utilizes a large language model-driven simulation framework that infers a structured proxy state from the interaction trace and verifies goal completion against scenario constraints. Results: The empirical results show that the benchmark produces stable rankings, provides effective supervision for unseen scenarios, and achieves high human-LLM judge agreement, indicating a reliable and scalable alternative to deterministic agentic benchmarks."
LiveClin: A Live Clinical Benchmark without Leakage,"Judge Reliability And Calibration, Domain-Specific Judging",[arXiv](http://arxiv.org/abs/2602.16747v1),2026-02-18,"Xidong Wang, Shuqi Guo, Yue Shen, et al.","Purpose: The paper introduces LiveClin, a live clinical benchmark designed to address the challenges of data contamination and knowledge obsolescence in medical language model evaluation. Method: LiveClin is built from contemporary, peer-reviewed case reports and updated biannually, using a verified AI-human workflow involving physicians to transform authentic patient cases into complex evaluation scenarios. Results: The evaluation of 26 models on LiveClin reveals the difficulty of real-world clinical scenarios, with the top-performing model achieving a Case Accuracy of just 35.7%, and human experts, particularly Chief Physicians, surpassing most models in accuracy."
